9525037f-38a7-48a3-9dc8-1bccddb29423	20221125	09:13:23}	GET	/books/3
b9d46240-7b4e-4bb4-bfde-db3582e4f257	20221125	09:13:25}	GET	/books/3
6ffdbf91-463b-46f8-b3f0-e47fb50bc0e9	20221125	09:13:36}	GET	/books/
9ec57722-a64b-436d-bc32-b6736241c776	20221125	09:13:46}	GET	/books/2
d7ac548e-d349-4984-8307-68970554306d	20221125	09:13:50}	GET	/books/3
ab47f536-27d2-4830-a945-23e1313c0f46	20221125	09:25:25}	GET	/books
0174debd-62bc-42e4-9cff-5eb025693950	20221125	09:25:54}	POST	/books
94cd1afb-a941-4398-a32f-fe4cd0b2b47c	20221125	09:26:06}	GET	/books/1
e0c9a260-336f-4de6-ae8b-1885a3f15329	20221125	09:56:33}	GET	/books/1
f574d118-9c7f-4613-9c68-34f01e170205	20221125	09:56:41}	GET	/books
4a9dde15-a053-401a-997d-fc46786469b4	20221125	09:56:53}	POST	/books
78830909-3655-442a-afcd-6d45060af781	20221125	09:57:53}	POST	/books
34b96b2f-9849-47cb-8ff6-cf41204db7d8	20221125	09:58:00}	PUT	/books
4538aa64-15df-408e-b295-2398d5700bb2	20221125	09:58:06}	DELETE	/books
3f99fbfb-c5b9-438a-9b5e-977527e6fb93	20221128	08:47:26}	GET	/books
cbe868e7-2f84-45c7-88a8-56332d27fcf7	20221128	08:47:45}	GET	/books/1
a42ad4cc-cbd8-45a2-b8e4-41097addb744	20221128	08:47:52}	GET	/books/1
d66efb0d-606e-4322-87d5-7d5bdce16573	20221128	08:47:57}	GET	/books/2
53798343-3dbb-4a1c-abfa-902b1052fa54	20221128	08:48:00}	GET	/books/1
3264cff2-2a15-4a5e-a0c0-5863095f96ee	20221128	08:48:03}	GET	/books/
8dc332f2-74ca-433b-9cf8-4df86f822143	20221128	08:48:11}	GET	/books/1
4bbd6ddf-6b69-4f92-b8a2-f59cb681506e	20221128	08:48:13}	GET	/books/1
379979eb-5f8f-4589-a345-071d3d59a7e3	20221128	08:50:52}	GET	/books/
0ac59f6e-ea7e-4974-ba91-b94722b4f934	20221128	08:50:57}	GET	/books/1
36378fde-d764-4b98-87cc-bf35c9f605e9	20221128	08:51:44}	GET	/books/1
a2084cef-3939-4d83-8600-b76974956b29	20221128	08:52:00}	GET	/books/1
25cabdea-a79c-4391-8505-a33e1f29726a	20221128	08:52:59}	GET	/books/1
79089c46-7f7e-4815-ae75-8b5382f22fe4	20221128	08:53:26}	GET	/books/1
3c47a9e0-bcb3-4c1b-b033-821ca175f567	20221128	08:54:02}	GET	/books/1
1a13226e-1599-487c-bc03-2a26e2e79e54	20221128	08:54:12}	GET	/books/
7fe0aa94-2958-41c5-b89e-5f8cb551a98d	20221128	08:54:31}	GET	/books/1
18bd747c-bc21-47c2-928e-149a5bed8ec3	20221128	08:55:16}	GET	/books/1
ff99eb51-ec72-4873-9bfb-d89a2cfa2455	20221128	08:55:35}	GET	/books/1
c896f0d4-70ab-4e3b-b414-82f04aa62ee5	20221128	09:00:21}	GET	/books/1
904cd3c2-bc2a-47ca-8966-21e89b4102c0	20221128	09:03:55}	GET	/books/
16a276d6-e5c3-4862-9e8f-b42aad5786e5	20221128	09:04:09}	GET	/books/
7b922553-c6c1-468d-a381-726c8f7ce496	20221128	09:08:58}	GET	/books/1
49edb002-efd8-4408-bbf8-903a617cfeb4	20221128	09:09:05}	GET	/books/1
db77dc64-c03a-4aab-9f95-c66bb159ac0a	20221128	09:12:54}	GET	/books/
42190e72-60f8-437f-a382-774574a33523	20221128	09:13:26}	GET	/books/2
9c5e2890-24de-45a3-b0ce-4687eb1bb402	20221128	09:13:48}	PUT	/books/2
e05f5d14-d634-4da0-9d69-bf94e6e4e4be	20221202	08:07:45}	GET	/books
087cb08b-193b-48ef-9905-0ad22558768b	20221202	08:08:34}	POST	/books
40030a6e-8b46-43b4-b224-2db63b066eb8	20221202	08:17:27}	POST	/books
e4af17d8-1752-40ba-8b28-73bd740960e1	20221202	08:25:00}	GET	/books
8dd90cf7-da30-4b97-943f-10b90f33439c	20221202	08:26:04}	POST	/books
85b560fa-5b67-45fe-a685-98fb0be2be9c	20221202	08:27:54}	POST	/books
d4b92730-4f26-42e7-84b7-6bc1ca402a09	20221202	08:28:05}	GET	/books
661ef10a-2c17-47f8-ae2f-6ff61e31a302	20221202	08:28:52}	GET	/books
f7c18ce4-aaed-4e92-bb5b-9e7efa77deed	20221202	08:28:57}	POST	/books
da04691b-c2be-43e3-aa55-3fec1686daa0	20221202	08:31:48}	DELETE	/books
fa445cd0-f575-452a-9ef2-8a4fecf6b1b8	20221202	08:41:57}	POST	/books
ddd087a2-77b2-4667-952e-decc8bf89997	20221202	08:44:26}	PUT	/books
08b736af-b225-4f59-8d21-8886a486a340	20221202	09:12:10}	POST	/books
9dd94162-689b-42b5-9877-a3e67ed63eef	20221202	09:12:43}	POST	/books
beb08fcb-bb33-4e63-89c9-52ad2fad07f7	20221202	09:12:48}	GET	/books
cc07cd95-d9a8-4b16-a343-54cc4ae9d62d	20221207	09:34:24}	GET	/books
